func_name,noise_std,rep,oracle_family,oracle_r2,dc_family,dc_r2,dc_regret,dc_correct,dc_time_ms,aic_family,aic_r2,aic_regret,aic_correct,aic_time_ms,bic_family,bic_r2,bic_regret,bic_correct,bic_time_ms,cv5_family,cv5_r2,cv5_regret,cv5_correct,cv5_time_ms,cv10_family,cv10_r2,cv10_regret,cv10_correct,cv10_time_ms
linear,0.2,12,linear,0.9074376666978458,linear,0.9074376666978458,0.0,True,14.989199989940971,linear,0.9074376666978458,0.0,True,2.710900007514283,linear,0.9074376666978458,0.0,True,2.0579000120051205,linear,0.9074376666978458,0.0,True,86.23090000764932,linear,0.9074376666978458,0.0,True,163.21089999109972
linear,0.2,13,poly2,0.8524456614878946,linear,0.8524378759764664,7.785511428215486e-06,False,7.358300004852936,linear,0.8524378759764664,7.785511428215486e-06,False,1.6794999974081293,linear,0.8524378759764664,7.785511428215486e-06,False,1.3672999921254814,linear,0.8524378759764664,7.785511428215486e-06,False,77.76309999462683,linear,0.8524378759764664,7.785511428215486e-06,False,158.87189999921247
linear,0.2,14,poly2,0.9380954799477305,linear,0.9375267476956863,0.000568732252044124,False,8.791999993263744,linear,0.9375267476956863,0.000568732252044124,False,1.9664999999804422,linear,0.9375267476956863,0.000568732252044124,False,2.0625000033760443,linear,0.9375267476956863,0.000568732252044124,False,74.8262999986764,linear,0.9375267476956863,0.000568732252044124,False,185.55370000831317
linear,0.2,15,linear,0.8810927095201246,linear,0.8810927095201246,0.0,True,10.273899999447167,linear,0.8810927095201246,0.0,True,1.9993000023532659,linear,0.8810927095201246,0.0,True,1.728600007481873,linear,0.8810927095201246,0.0,True,84.69740000145976,linear,0.8810927095201246,0.0,True,142.00320000236388
linear,0.2,16,poly2,0.8959096016399026,linear,0.8920399183774025,0.0038696832625001454,False,8.801300005870871,linear,0.8920399183774025,0.0038696832625001454,False,1.807399996323511,linear,0.8920399183774025,0.0038696832625001454,False,1.8807000014930964,poly,0.894539063643932,0.0013705379959706443,False,87.11639999819454,poly,0.894539063643932,0.0013705379959706443,False,157.17469999799505
linear,0.2,17,linear,0.9081626747460703,linear,0.9081626747460703,0.0,True,6.571899997652508,poly,0.9067540279278754,0.0014086468181948586,False,1.5350000030593947,linear,0.9081626747460703,0.0,True,1.3682999997399747,poly,0.9045885174071792,0.003574157338891104,False,101.66239998943638,poly,0.9045885174071792,0.003574157338891104,False,169.4969999953173
linear,0.2,18,linear,0.9101334680259366,linear,0.9101334680259366,0.0,True,6.7663999943761155,poly,0.9037954464035115,0.0063380216224251384,False,1.4998000115156174,linear,0.9101334680259366,0.0,True,1.3151000021025538,poly,0.9049694009186149,0.005164067107321757,False,68.71809999574907,poly,0.9049694009186149,0.005164067107321757,False,142.02729999669828
linear,0.2,19,poly5,0.8908717813217973,linear,0.8861877350917858,0.004684046230011507,False,6.7636000021593645,linear,0.8861877350917858,0.004684046230011507,False,1.8339999951422215,linear,0.8861877350917858,0.004684046230011507,False,1.3484999944921583,linear,0.8861877350917858,0.004684046230011507,False,74.12869999825489,linear,0.8861877350917858,0.004684046230011507,False,141.22640001005493
linear,0.2,20,linear,0.8475289561962066,linear,0.8475289561962066,0.0,True,6.771199987269938,poly,0.8385477110218644,0.008981245174342178,False,1.55720001203008,linear,0.8475289561962066,0.0,True,1.5360999968834221,poly,0.8418585264164333,0.005670429779773278,False,71.7235000047367,poly,0.8418585264164333,0.005670429779773278,False,148.28480000142008
linear,0.2,21,poly5,0.8930019644650775,linear,0.8817483287429333,0.011253635722144217,False,6.584000002476387,linear,0.8817483287429333,0.011253635722144217,False,1.4720000035595149,linear,0.8817483287429333,0.011253635722144217,False,1.287100007175468,poly,0.8937770912721866,-0.0007751268071091166,False,71.02420000592247,poly,0.8937770912721866,-0.0007751268071091166,False,159.00839999085292
linear,0.2,22,poly5,0.8207546823428842,linear,0.8125801348681193,0.00817454747476487,False,8.221499985666014,linear,0.8125801348681193,0.00817454747476487,False,1.5761000104248524,linear,0.8125801348681193,0.00817454747476487,False,1.504399988334626,poly,0.8178898416314693,0.0028648407114149066,False,70.69849999970756,poly,0.8178898416314693,0.0028648407114149066,False,150.0011999887647
linear,0.2,23,linear,0.8595966306201881,linear,0.8595966306201881,0.0,True,7.141900001442991,linear,0.8595966306201881,0.0,True,1.5585000073770061,linear,0.8595966306201881,0.0,True,1.3333000097190961,linear,0.8595966306201881,0.0,True,73.01059999736026,linear,0.8595966306201881,0.0,True,144.81320000777487
linear,0.2,24,rf,0.8990818662769685,linear,0.8888454914468706,0.010236374830097872,False,7.935200002975762,linear,0.8888454914468706,0.010236374830097872,False,1.5737999929115176,linear,0.8888454914468706,0.010236374830097872,False,1.3513000012608245,linear,0.8888454914468706,0.010236374830097872,False,70.34770000609569,linear,0.8888454914468706,0.010236374830097872,False,159.6860999998171
linear,0.2,25,linear,0.9395556978186004,linear,0.9395556978186004,0.0,True,7.162100009736605,linear,0.9395556978186004,0.0,True,2.2398000000976026,linear,0.9395556978186004,0.0,True,1.4297000016085804,linear,0.9395556978186004,0.0,True,71.775800010073,linear,0.9395556978186004,0.0,True,147.63359999051318
linear,0.2,26,poly5,0.8627881292249978,linear,0.8554393105220623,0.007348818702935467,False,7.90509999205824,linear,0.8554393105220623,0.007348818702935467,False,1.581599994096905,linear,0.8554393105220623,0.007348818702935467,False,1.3724999880651012,linear,0.8554393105220623,0.007348818702935467,False,83.08369999576826,linear,0.8554393105220623,0.007348818702935467,False,162.01210000144783
linear,0.2,27,linear,0.856140792871035,spline,0.6008276824348175,0.2553131104362174,False,7.215100005851127,poly,0.8509214147577463,0.005219378113288653,False,2.559300002758391,linear,0.856140792871035,0.0,True,1.8505999905755743,poly,0.8501575876830485,0.005983205187986451,False,77.55159999942407,poly,0.8501575876830485,0.005983205187986451,False,173.7184000085108
linear,0.2,28,poly2,0.905498319605984,linear,0.9029799494613489,0.0025183701446351847,False,6.859899993287399,linear,0.9029799494613489,0.0025183701446351847,False,1.513600000180304,linear,0.9029799494613489,0.0025183701446351847,False,1.41050000092946,poly,0.905498319605984,0.0,False,78.72459999634884,linear,0.9029799494613489,0.0025183701446351847,False,165.65029999765102
linear,0.2,29,poly2,0.8712972586190928,linear,0.8712834830859524,1.3775533140414353e-05,False,7.320199991227128,linear,0.8712834830859524,1.3775533140414353e-05,False,1.5908999921521172,linear,0.8712834830859524,1.3775533140414353e-05,False,1.3325000036275014,linear,0.8712834830859524,1.3775533140414353e-05,False,74.12140000087675,linear,0.8712834830859524,1.3775533140414353e-05,False,156.161399994744
linear,0.5,0,poly2,0.43436262107983414,spline,-425.24511625483666,425.6794788759165,False,7.58510000014212,poly,0.3989118068792926,0.035450814200541525,False,1.6061000060290098,linear,0.42791347131932467,0.006449149760509476,False,2.0231999951647595,linear,0.42791347131932467,0.006449149760509476,False,76.74319999932777,poly,0.3989118068792926,0.035450814200541525,False,150.26789999683388
linear,0.5,1,poly5,0.7055370185801584,spline,-3.1438128526403233,3.8493498712204817,False,8.129299996653572,poly,0.7055370185801584,0.0,False,1.6175000055227429,linear,0.6978180631503753,0.00771895542978307,False,1.396000006934628,linear,0.6978180631503753,0.00771895542978307,False,72.11320000351407,linear,0.6978180631503753,0.00771895542978307,False,167.0933999994304
linear,0.5,2,linear,0.5641914673953732,spline,-1.9911417943848062,2.5553332617801794,False,7.062800010317005,poly,0.5284823648988993,0.035709102496473855,False,1.5727999998489395,linear,0.5641914673953732,0.0,True,1.3832999975420535,poly,0.5384268875741847,0.025764579821188516,False,72.35539999965113,poly,0.5552271698314176,0.008964297563955559,False,143.21300000301562
linear,0.5,3,poly2,0.7220880057452903,spline,-6.548263772478108,7.270351778223398,False,10.269999998854473,poly,0.6908835996225775,0.031204406122712802,False,1.9391999958315864,linear,0.7219906106013165,9.739514397377746e-05,False,2.112800008035265,poly,0.6595378038556239,0.06255020188966642,False,89.17540000402369,poly,0.6908835996225775,0.031204406122712802,False,149.47999999276362
linear,0.5,4,linear,0.5400470906018324,spline,-36.203616261891696,36.74366335249353,False,7.51989999844227,linear,0.5400470906018324,0.0,True,2.0575999951688573,linear,0.5400470906018324,0.0,True,1.3630000030389056,linear,0.5400470906018324,0.0,True,74.23969999945257,poly,0.4775999685049296,0.06244712209690284,False,166.31830000551417
linear,0.5,5,linear,0.4799430776073115,spline,-2.6031302428222425,3.0830733204295537,False,11.962899996433407,poly,0.43468519998337707,0.045257877623934406,False,2.238100001704879,linear,0.4799430776073115,0.0,True,1.7743999924277887,poly,0.44383894960760273,0.036104127999708746,False,97.71980000368785,poly,0.44383894960760273,0.036104127999708746,False,142.63020000362303
