func_name,degree,deltaC,gap,R2_train,R2_test
linear,11,2057.900155399206,-0.009806368622699901,0.9737866349754664,0.9835930035981663
linear,12,1124.2109392026614,-0.009203701348165727,0.9738581390989632,0.983061840447129
linear,13,265582.31535934855,-0.009523606090492187,0.9738604914216159,0.9833840975121081
linear,14,78499.89398353941,-0.009554686577534555,0.9738605171029436,0.9834152036804782
linear,15,21004012.546499133,-0.009474136971265312,0.973870209495301,0.9833443464665663
linear,1,0.006269440762270984,-0.0064353407339050595,0.9644260610771459,0.970861401811051
linear,2,0.007676821609085671,-0.0062516165073416285,0.9644769347833985,0.9707285512907401
linear,3,0.014526047060435587,-0.006267331788975539,0.9644770439929095,0.970744375781885
linear,4,0.014473403194319445,-0.00626696523702841,0.9644852162534143,0.9707521814904427
linear,5,0.053615269311681146,-0.006256271404574076,0.9645332351954972,0.9707895066000712
linear,6,0.27558546635074066,-0.006743242768638469,0.964594890839621,0.9713381336082595
linear,7,12.067700957558229,-0.005422174076343045,0.964742877855585,0.970165051931928
linear,8,0.7219174542873148,-0.005650190872891314,0.9647825002842365,0.9704326911571278
linear,9,12.887974222196505,-0.005113708757433666,0.9650275098881972,0.9701412186456309
linear,10,1755.6041148766565,-0.0052154644489113,0.9651739819131427,0.970389446362054
linear,11,11114.208136085306,-0.005412840967377597,0.965224281999144,0.9706371229665216
linear,12,57049.38698362393,-0.005380871613775429,0.9652265778528489,0.9706074494666244
linear,13,294023.11796782917,-0.005225814245809368,0.9652280917667365,0.9704539060125459
linear,14,3101309.9595054956,-0.005342967460410408,0.9652323090042546,0.970575276464665
linear,15,5115680.816321706,-0.005313071239535172,0.9652332767699282,0.9705463480094634
linear,1,0.008032874063218065,0.005553538364504451,0.9775268495231912,0.9719733111586868
linear,2,0.0063839542035792896,0.004667729342088922,0.9776456192958498,0.9729778899537609
linear,3,0.004025587234282035,0.0054228565364479175,0.9780449516317672,0.9726220950953193
linear,4,0.03829516254577747,0.00592282735905858,0.9781681565626379,0.9722453292035793
linear,5,-0.012203860338959593,0.006964347186024233,0.9785307038133118,0.9715663566272875
linear,6,1.4269439548199099,0.006911939799325584,0.9785512205964512,0.9716392807971256
linear,7,23.148133233306556,0.007653390949159067,0.9787339510917509,0.9710805601425918
linear,8,91.9966572242181,0.007698079743413189,0.978791396633809,0.9710933168903958
linear,9,328.6557873682223,0.0079456232254973,0.9788542038301216,0.9709085806046243
linear,10,1409.681378112996,0.010053011284724023,0.9794866186425454,0.9694336073578214
linear,11,62643.11053772334,0.010354553762658258,0.9795445535019955,0.9691899997393373
linear,12,153824.1997729952,0.010385535175436167,0.9795453987358483,0.9691598635604122
linear,13,1313151.32723467,0.010560742025733316,0.9795786403257726,0.9690178983000393
linear,14,5065119.925509798,0.010915881409863992,0.9795889404688243,0.9686730590589603
linear,15,12011405.14439679,0.010972697357244043,0.9795948880260527,0.9686221906688086
linear,1,0.0075209691399276135,-0.004449661225609525,0.9692653007135756,0.9737149619391852
linear,2,0.00554206415759495,-0.0029563147431368453,0.9697356768359215,0.9726919915790584
linear,3,0.0044495806932474125,-0.0026758715693574464,0.969779898880967,0.9724557704503245
linear,4,0.025570301231122805,-0.003134881309767912,0.9706386977894906,0.9737735790992585
linear,5,-0.0644274479819229,-0.0024966149750681454,0.9708151739064509,0.973311788881519
linear,6,1.7918811877705423,-0.0018267804726840309,0.9714528640987901,0.9732796445714741
linear,7,3.3735713821443696,-0.0016678143254749145,0.9714562782770375,0.9731240926025124
linear,8,139.49014753661035,-0.001526394146879384,0.9714665108949141,0.9729929050417935
linear,9,11.287291603981906,-0.0015306589530050818,0.9715021087345334,0.9730327676875384
linear,10,2927.0155500948395,-0.0005028794400178116,0.9716311197394595,0.9721339991794773
linear,11,11881.0534020338,-0.0003004616961818085,0.971715609539658,0.9720160712358398
linear,12,124992.73939524373,0.003143092364393474,0.9725942796135262,0.9694511872491327
linear,13,3968181.069818211,0.00285827336842559,0.9726144527637385,0.9697561793953129
linear,14,10667125.543773504,0.004402537570927789,0.9728723552640427,0.9684698176931149
linear,15,25880789.164045136,0.005230997370231694,0.9729801359564313,0.9677491385861996
linear,1,0.007946239629435414,-0.00799481191340301,0.9669941737840828,0.9749889856974858
linear,2,0.006124689459011012,-0.006132725675269013,0.967419033577141,0.97355175925241
linear,3,0.007863788836442787,-0.006361593538446453,0.9674643133373498,0.9738259068757963
linear,4,0.028728394771268206,-0.006019718649607819,0.9676986620513035,0.9737183807009113
linear,5,-0.082012236209418,-0.005108974994403437,0.9681160575832056,0.9732250325776091
linear,6,1.2331618670695779,-0.0055661487222598005,0.9682089643584648,0.9737751130807246
linear,7,1.3478377952054235,-0.005736781422735038,0.96821630503922,0.973953086461955
linear,8,92.60991952468379,-0.004807106811499207,0.9682831153082517,0.9730902221197509
linear,9,216.00506510855956,-0.00482058483218506,0.9682835401696636,0.9731041250018486
linear,10,3794.5398198656867,-0.004295125298499625,0.9683055763897019,0.9726007016882016
linear,11,4313.83579908137,0.0034966232284713294,0.9693932520740939,0.9658966288456226
linear,12,2104.3977117296745,0.002408168662384358,0.9701655961898353,0.967757427527451
linear,13,505872.74774104625,0.005611842987297333,0.9704665909289232,0.9648547479416258
linear,14,511938.4138683763,0.005842281327343657,0.9704706129439428,0.9646283316165991
linear,15,21496066.36602958,0.0008528704086266936,0.9709780890507653,0.9701252186421386
linear,1,0.0074927154641952765,0.003279700611179104,0.9704647102684761,0.967185009657297
linear,2,0.004726337871523878,0.0025529124614064314,0.9704931210129975,0.967940208551591
linear,3,0.007708318931819669,0.001978306441825173,0.9707567893831629,0.9687784829413377
linear,4,0.027624133731740663,0.002774889305563244,0.9709495625197034,0.9681746732141402
linear,5,0.40374067211045706,0.002536512009695513,0.9710720521386121,0.9685355401289166
linear,6,0.31730210966158623,0.002904623179125765,0.9711200161925209,0.9682153930133951
linear,7,3.7983193879949475,0.0030250956440097676,0.9711326046975335,0.9681075090535237
linear,8,82.11116227887759,0.0032897443769400736,0.9711497268990462,0.9678599825221061
linear,9,35.83814402510487,0.0044192290454593275,0.971717086227702,0.9672978571822427
linear,10,2943.8609731495867,0.004360671039157049,0.9717179130684214,0.9673572420292643
linear,11,11936.255565409447,0.005187431254135566,0.9717755460226822,0.9665881147685467
linear,12,375.5635699904651,0.005255173395874557,0.9717920899758918,0.9665369165800173
linear,13,357757.91982431797,0.0052133415015188644,0.9717936863019453,0.9665803448004264
linear,14,5437633.2083637705,0.0047319180832696706,0.9718743746083717,0.967142456525102
linear,15,60619315.952913135,0.004798422759712873,0.971877453067232,0.9670790303075191
linear,1,0.008150096511560623,0.016269389011525304,0.9753739942303521,0.9591046052188268
linear,2,0.013241839831588553,0.019407133035525326,0.9757144475938698,0.9563073145583445
linear,3,0.021615553990985248,0.01865539676466632,0.9762390937596259,0.9575836969949596
linear,4,0.015426776316944668,0.019424531812452073,0.9762971257819969,0.9568725939695448
linear,5,-0.09764933615464333,0.019988167510168298,0.976683846037945,0.9566956785277767
linear,6,-0.6139241507936433,0.02029978092648066,0.9772686734795561,0.9569688925530755
linear,7,13.788395747158361,0.020263446966495846,0.9772717083485644,0.9570082613820685
linear,8,7.151963039229466,0.020291346301157365,0.9772723718604467,0.9569810255592893
linear,9,592.6235458524086,0.020698412247916576,0.977344046068166,0.9566456338202495
linear,10,2653.4677426995095,0.02075404609314635,0.9773571496433735,0.9566031035502272
linear,11,10655.1170138899,0.022795881449208744,0.9778127646230589,0.9550168831738501
linear,12,272956.57905917853,0.02371087418871176,0.9778655415226019,0.9541546673338901
linear,13,119973.60068899015,0.02365694891743464,0.9778779760606116,0.9542210271431769
linear,14,539577.9044354907,0.028749827658943405,0.978298521086926,0.9495486934279826
linear,15,54668298.42367788,0.03204493208419479,0.9789825129757419,0.9469375808915471
linear,1,0.007775867910371437,0.004905927085693262,0.9728668362738836,0.9679609091881903
