function,category,n_train,best_degree,C_train,C_test,deltaC,R2_train,R2_test,gap,d_deltaC,d_gap,d_R2_train,d_R2_test,d2_deltaC,d2_gap,deltaC_ratio
quadratic,A_smooth,320,10,989.5461999831331,910.0736545734113,-79.47254540972176,0.9154296386077231,0.9072005417652219,0.008229096842501171,40.913958810879805,0.0002761466425557857,0.0002761466425557857,0.0,4.973918398233184,3.5921751235870613e-06,0.0885239688158605
quadratic,A_smooth,340,10,555.1903038600288,910.0736545734113,354.88335071338247,0.9041159511174064,0.9072005417652219,-0.0030845906478155216,21.71779480615521,-0.0005656843745158347,-0.0005656843745158347,0.0,-0.9598082002362297,-4.209155085358102e-05,-4.465483631910575
quadratic,A_smooth,360,10,168.4382241357758,910.0736545734113,741.6354304376355,0.9071451993184928,0.9072005417652219,-5.534244672911193e-05,19.33760398621265,0.0001514624100543205,0.0001514624100543205,0.0,-0.11900954099712813,3.585733922850776e-05,2.0898005751659197
quadratic,A_smooth,380,10,1007.8641123041831,910.0736545734113,-97.79045773077178,0.8988405464271357,0.9072005417652219,-0.008359995338086179,-41.97129440842036,-0.0004152326445678534,-0.0004152326445678534,0.0,-3.0654449197316507,-2.8334752731108693e-05,-0.13185785591859614
quadratic,A_smooth,400,10,1276.5491179537394,910.0736545734113,-366.47546338032805,0.8980737065445041,0.9072005417652219,-0.009126835220717777,-13.434250282477814,-3.8341994131579904e-05,-3.8341994131579904e-05,0.0,1.4268522062971276,1.8844532521813675e-05,3.7475585234428146
quadratic,A_smooth,420,10,897.1448543689417,910.0736545734113,12.928800204469667,0.8998492624357337,0.9072005417652219,-0.007351279329488203,18.970213179239884,8.877779456147871e-05,8.877779456147871e-05,0.0,1.620223173085885,6.3559894346529305e-06,-0.03527876078036953
quadratic,A_smooth,440,10,565.0359772954363,910.0736545734113,345.03767727797504,0.8945948316876253,0.9072005417652219,-0.012605710077596588,16.60544385367527,-0.00026272153740541926,-0.00026272153740541926,0.0,-0.1182384662782308,-1.75749665983449e-05,26.687524891806333
quadratic,A_smooth,460,10,187.25175011648835,910.0736545734113,722.821904456923,0.9042438024801375,0.9072005417652219,-0.002956739285084442,18.8892113589474,0.0004824485396256073,0.0004824485396256073,0.0,0.11418837526360655,3.725850385155133e-05,2.0949071711800076
quadratic,A_smooth,480,10,622.2070188725273,910.0736545734113,287.866635700884,0.9071526474996829,0.9072005417652219,-4.789426553897247e-05,-21.74776343780195,0.0001454422509772735,0.0001454422509772735,0.0,-2.0318487398374674,-1.685031443241669e-05,0.39825389065535655
quadratic,A_smooth,500,10,1161.169041834227,910.0736545734113,-251.09538726081576,0.9067657164551624,0.9072005417652219,-0.00043482531005956115,-26.948101148084987,-1.9346552226029435e-05,-1.9346552226029435e-05,0.0,-0.26001688551415186,-8.239440160165147e-06,-0.8722629027482142
sine,B_oscillatory,20,10,4353.107516380347,616.5923163957939,-3736.515199984553,0.9928485736131821,0.9817814901622209,0.01106708345096119,,,,,,,
sine,B_oscillatory,40,10,623.9841927577291,616.5923163957939,-7.39187636193526,0.9871384613985817,0.9817814901622209,0.005356971236360808,186.45616618113087,-0.0002855056107300191,-0.0002855056107300191,0.0,,,0.0019782808221858214
sine,B_oscillatory,60,10,968.8080274865703,616.5923163957939,-352.2157110907764,0.9861727144239242,0.9817814901622209,0.0043912242617032415,-17.241191736442055,-4.828734873287832e-05,-4.828734873287832e-05,0.0,-10.184867895878646,1.1860913099857039e-05,47.64902628844337
sine,B_oscillatory,80,10,5275.279337887201,616.5923163957939,-4658.687021491407,0.9838049464341528,0.9817814901622209,0.0020234562719319005,-215.32356552003154,-0.00011838839948856706,-0.00011838839948856706,0.0,-9.904118689179473,-3.505052537784436e-06,13.226800721250978
sine,B_oscillatory,100,10,2473.8827278278654,616.5923163957939,-1857.2904114320716,0.9858317211462736,0.9817814901622209,0.004050230984052661,140.06983050296677,0.00010133873560603801,0.00010133873560603801,0.0,17.769669801149917,1.0986356754730253e-05,0.39867250211573313
sine,B_oscillatory,120,10,481.71740531932187,616.5923163957939,134.87491107647202,0.9837622958290672,0.9817814901622209,0.0019808056668462193,99.60826612542718,-0.00010347126586032206,-0.00010347126586032206,0.0,-2.0230782188769796,-1.0240500073318003e-05,-0.07261918235634252
sine,B_oscillatory,140,10,1081.0210358650518,616.5923163957939,-464.4287194692579,0.9815187078253733,0.9817814901622209,-0.0002627823368476223,-29.965181527286497,-0.00011217940018469208,-0.00011217940018469208,0.0,-6.478672382635684,-4.354067162185006e-07,-3.4434033413815106
sine,B_oscillatory,160,10,501.5129927471054,616.5923163957939,115.0793236486885,0.9799528725065779,0.9817814901622209,-0.0018286176556430167,28.97540215589732,-7.829176593976973e-05,-7.829176593976973e-05,0.0,2.9470291841591907,1.6943817122461177e-06,-0.24778683751555977
sine,B_oscillatory,180,10,1318.7673264838074,616.5923163957939,-702.1750100880136,0.9820999042002321,0.9817814901622209,0.0003184140380111389,-40.8627166868351,0.00010735158468270778,0.00010735158468270778,0.0,-3.491905942136621,9.282167531123875e-06,-6.101660905060558
